Requiere actualizar,Fecha de actualización,Codigo interno,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos (Frases P),Exclamación (PICTOGRAMA ),Corrosión (PICTOGRAMA ),Peligro para la salud (PICTOGRAMA ),Calavera (PICTOGRAMA ),Llama (PICTOGRAMA ),Ambiente (PICTOGRAMA ),Llama sobre círculo (PICTOGRAMA ),Bomba explotando (PICTOGRAMA ),Cilindro de gas (PICTOGRAMA )
,2025-10-21 00:00:00,VAR-QB00010,ACIDO OLEICO QB ,No Aplicable,No Aplicable,01 800 002 1400,No Aplicable,"P302 + P352, P304 + P340, P301 + P330",,,,,,,,,
,2025-11-13 00:00:00,VAR-QB00158,ACIDO POLIFOSFORICO 115% S/P,8017-16-1,PELIGRO,01 800 002 1400,"H301, H314, H335","Ojos: Busque atención médica inmediatamente. NO permita que la víctima se frote ni mantenga los ojos 
cerrados. Se requiere lavando extenso (al menos 30 minutos).
Piel: Busque atención médica inmediatamente. Lave inmediatamente la piel con abundante agua y 
jabón durante al menos 15 minutos mientras se quita la ropa y los zapatos contaminados. Lavar la ropa 
antes de volver a usarla. Destruir zapatos contaminados.
Ingestión: NO inducir el vómito. Si la víctima está consciente y alerta, darle de 2 a 4 tazas de leche o 
agua. Nunca le dé nada por vía oral a una persona inconsciente. Obtenga ayuda médica 
inmediatamente.
Inhalación: Busque atención médica inmediatamente. Retirar de la exposición al aire fresco 
inmediatamente. Si no respira, dar respiración artificial. Si la respiración es difícil, proporcione oxígeno. 
No utilice respiración boca a boca.
Notas para el médico: Trate sintomáticamente y de apoyo.",X,X,X,,,,,,
,2025-11-13 00:00:00,VAR-QB00157,ACIDO POLIFOSFORICO 117% S/P,8017-16-1,PELIGRO,01 800 002 1400,"H301, H314, H335","Ojos: Busque atención médica inmediatamente. NO permita que la víctima se frote ni mantenga los ojos cerrados. Se requiere lavando extenso (al menos 30 minutos).
Piel: Busque atención médica inmediatamente. Lave inmediatamente la piel con abundante agua y jabón durante al menos 15 minutos mientras se quita la ropa y los zapatos contaminados. Lavar la ropa antes de volver a usarla. Destruir zapatos contaminados.
Ingestión: NO inducir el vómito. Si la víctima está consciente y alerta, darle de 2 a 4 tazas de leche o 
agua. Nunca le dé nada por vía oral a una persona inconsciente. Obtenga ayuda médica 
inmediatamente.
Inhalación: Busque atención médica inmediatamente. Retirar de la exposición al aire fresco 
inmediatamente. Si no respira, dar respiración artificial. Si la respiración es difícil, proporcione oxígeno. 
No utilice respiración boca a boca.
Notas para el médico: Trate sintomáticamente y de apoyo.",X,X,X,,,,,,
,2025-10-21 00:00:00,LUB-QB00002,ACTIPHYTE BLUE AGAVE GL100NP,Mezcla,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00318,ACTIVE CARBON 423,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H336, H373","P210, P260, P280, P302 + P352, P304 + P340 + P312, P305 + P351 + P338, P314, P333 + P313, P337 + P313, P370 + P378",X,,X,,,,,,
,2025-10-24 00:00:00,VAR-QB00011,ADBS QB,Mezcla,PELIGRO,01 800 002 1400,"H301, H305, H314, H315, H318, H402","P261, P262, P280, P331, P303+P361+P353, P304+P340, P305+P351+P338, P501",X,X,,,,,,,
,2025-11-25 00:00:00,KAO-QB00015,AKYPO FOAM RL 40 S/P,33939-64-9,PELIGRO,+34 93 739 9445,H318,"P280,  P305 + P351 + P338, P310",,X,,,,,,,
,2025-10-28 00:00:00,KAO-QB00016,AKYPO LM-40 S/P,Mezcla,PELIGRO,+34 93 739 9445,H318,"PREVENCIÓN:Llevar gafas o máscara de protección: Recomendado: Gafas anti-salpicaduras., Gafas de seguridad con protección lateral. RESPUESTA: EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un CENTRO DE INFORMACION TOXICOLOGICA o a un médico.",,X,,,,,,,
,2025-10-21 00:00:00,KAO-QB00017,AKYPO SUGAR LM-42,Mezcla,ATENCION,+34 93 739 9445,H319,"P280, P264,  P305 + P351 + P338, P305 + P351 + P338",X,,,,,,,,
,2025-10-23 00:00:00,VAR-QB00013,ALCANFOR,76-22-2,ATENCION,01 800 002 1400,"H228, H302, H315, H319, H335","P210, P240, P261, P264, P270, P271, P280, P301 + P312, P302 + P352, P304 + P340, P312, P330, P370 + P378, P305 + P351 + P338, P332+P313, P337+P313, P264+P364, P404+P235, P233, P405, P501",,,X,,,,,,
,2025-10-21 00:00:00,VAR-QB00014,ALCOHOL CETILICO S/P,36653-82-4,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-11-25 00:00:00,KAO-QB00018,ALCOHOL ESTEARILICO KALKOL 8098,112-92-5,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-24 00:00:00,VAR-QB00016,ALCOHOL LAURICO 3 S/P,68439-50-9,PELIGRO,01 800 002 1400,"H302, H313, H315, H402","P264, P310, P301+P312, P302+P352, P305+P351+P338, P501",X,X,,,,X,,,
,2025-12-02 00:00:00,VAR-QB00017,ALCOHOL LAURICO 7 MOLES S/P,"3055-97-8, 7732-18-5",PELIGRO,01 800 002 1400,"H302, H315, H318, H335, H402","P261, P264, P270, P280, P301+P312, P302+P352, P305+P351+P338, P362, P501
",X,X,,,,X,,,
,2025-10-24 00:00:00,VAR-QB00018,ALCOHOL LAURICO 9 MOLES,68551-12-2,PELIGRO,01 800 002 1400,"H302, H318, H320, H401, H412","P273, P280, P301+P312, P305+P351+P338, P310, P391",X,X,,,,X,,,
,2025-11-25 00:00:00,VAR-QB00020,ALCOHOL TRIDECILICO 6 MOLES S/P,78330-21-9,PELIGRO,01 800 002 1400,"H302, H313, H315, H318, H402","P264, P270, P273, P280, P301 + P312, P305 + P351 + P338, P302 + P352, P310, P312, P321, P330, P332 + P313, P362 + P364, P501",X,X,,,,,,,
,2025-11-25 00:00:00,VAR-QB00021,ALCOHOL TRIDECILICO 8 MOLES S/P,78330-21-9,PELIGRO,01 800 002 1400,"H302, H313, H315, H318, H402","P264, P270, P273, P280, P310, P312, P321, P330, P301 + P312, P302 + P352, P305 + P351 + P338, P332 + P313, P362 + P354, P501 ",X,X,,,,,,,
,2025-10-21 00:00:00,KAO-QB00019,ALFANOX 46,Mezcla,PELIGRO,+34 93 739 9445,"H315, H318","PREVENCIÓN:  Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, Viton, caucho nitrílico, neopreno. Llevar gafas o máscara de protección: Recomendado: gafas 
anti-salpicaduras , gafas de seguridad con protección lateral. Lavarse  concienzudamente tras la manipulación. RESPUESTA:  Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. EN CASO DE 
CONTACTO CON LA PIEL: Lavar con abundante agua. En caso de irritación cutánea:
Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar 
cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva  y resulta fácil. Seguir aclarando. Llamar inmediatamente a un CENTRO DE 
INFORMACION TOXICOLOGICA o a un médico.",,X,,,,,,,
,2025-10-21 00:00:00,LUB-QB00003,ALGAPUR HSHO,Mezcla,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-17 00:00:00,ASH-QB00081,ALLIANZ OPT PAIL,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00123,ALMOND 339 MOOD 2,Mezcla,ATENCION,01 800 002 1400,"H227, H317, H319, H361","P210, P261, P280, P302 + P352,  P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 +P378",X,,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00124,ALOE VERA GAV 1171 SH,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P280, P302 + P352, P305 + P351 + P338 ",X,,X,,,,,,
,2025-11-13 00:00:00,KAO-QB00021,AMIDET N,Sustancia,ATENCION,+34 93 739 9445,"Provoca irritación cutánea.
Provoca irritación cutánea. Nocivo para los organismos acuáticos, con efectos nocivos duraderos.","PREVENCIÓN: Llevar guantes de protección: 1 - 4 horas (tiempo de detección): goma de butilo, Viton;< 1 hora (tiempo de detección) :neopreno,caucho nitrílico. Evitar su liberación al medio ambiente. Lavarse las manos concienzudamente tras la
manipulación. RESPUESTA: EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes.
En caso de irritación cutánea: Consultar a un médico. ELIMINACIÓN: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",X,,,,,,,,
,2025-10-21 00:00:00,KAO-QB00022,AMIET 502 TAMBOR 175 KGS, 61791-26-2,PELIGRO,+34 93 739 9445,"H302, H314, H318, H400, H410","PREVENCIÓN: Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar  prendas de protección: Recomendado: bata de laboratorio , Traje de protección. Llevar 
gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. Evitar su liberación al medio ambiente. No comer, beber ni fumar durante su utilización. Lavarse  concienzudamente tras la manipulación. RESPUESTA: EN CASO DE INGESTIÓN: Llamar a un centro de información toxicológica o a un  médico si la persona se encuentra mal. Enjuagarse la boca. EN CASO DE  CONTACTO CON LA PIEL: Lave la piel contaminada con el de 3% de ácido acético o  el agente que contiene Diphoterin (por ejemplo, Previn ®). Quitarse las prendas contaminadas. Lavar las prendas contaminadas antes de volver a usarlas. En caso de  irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente que contenga Diphoterin, levantando ocasionalmente los párpados superior e inferior.
 Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar 
inmediatamente a un centro de información toxicológica o a un médico. ALMACENAMIENTO: Guardar bajo llave. ELIMINACIÓN: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",X,X,,,,X,,,
,2025-11-13 00:00:00,KAO-QB00024,AMIET 515,61791-26-2,PELIGRO,+34 93 739 9445,"H302, H330, H318, H411","PREVENCIÓN: : Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. Llevar 
equipo de protección respiratoria: Recomendado: Si se produce polvo y la ventilación 
es insuficiente, utilice una careta de respiración de partículas N95 certificada por NIOSH (42 CFR 84).. Utilizar únicamente en exteriores o en un lugar bien ventilado.
No respirar los vapores. No comer, beber ni fumar durante su utilización. Lavarse las 
manos concienzudamente tras la manipulación. RESPUESTA: EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una 
posición que le facilite la respiración. Llamar inmediatamente a un centro de 
información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar a un centro de información toxicológica o a un médico en caso de malestar. Enjuagarse la boca. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua 
durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir 
aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ALMACENAMIENTO: Guardad cerrado. ELIMINACIÓN: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales,
nacionales e internacionales.",,X,,X,,X,,,
,2025-10-17 00:00:00,IFF-QB00176,AMOR CON J,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",X,,X,,,,,,
,2025-10-17 00:00:00,ASH-QB00078,ANTARON SOJA,56-81-5,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-17 00:00:00,ASH-QB00065,ANTARON V220F,28211-18-9,ATENCION,1-800-274-5263,H319,"P264, P280, P305 + P351 + P338",X,,,,,,,,
,2025-10-21 00:00:00,VAR-QB00023,ANTIESPUMANTE,Mezcla,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00125,APPLE 872 MANZANA VERDE,Mezcla,ATENCION,01 800 002 1400,"H317, H361","P261, P280, P302 + P352, P308 + P313, P333 + P313, ",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00072,APPLE 930,Mezcla,ATENCION,01 800 002 1400,"H227, H317, H319, H361","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",X,,X,,,,,,
,2025-10-21 00:00:00,ASH-QB00085,AQUAFLEX XL-30,Mezcla,ATENCION,1-800-274-5263,H411,"P273, P391, P501",,,,,,X,,,
,2025-10-17 00:00:00,ASH-QB00071,AQUALON EC-N200 PC,9004-57-3,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-21 00:00:00,LUB-QB00004,ARBALON R-50 CELLULOSE LIQ,Mezcla,No Aplicable,01 800 002 1400,"El material es estable bajo condiciones normales. No lo exponga al calor excesivo, fuentes de ignición y a materiales oxidantes.  ",No Aplicable,,,,,,,,,
,2025-10-16 00:00:00,IFF-QB00218,ARGAN MANDARINA SOFT 195,MEZCLA,ATENCION,01 800 002 1400," H315, H317, H319, H361"," P280, P302 + P352, P305 + P351 + P338",X,,X,,,,,,
,2025-11-28 00:00:00,KAO-QB00001,ASFIER 100,61791-55-7,PELIGRO,+34 93 739 9445,"H302, H314, H318, H372, H400, H410","PREVENCION: Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, caucho nitrílico. Llevar prendas de protección: Recomendado: Traje de protección, bata de laboratorio. Llevar gafas o máscara de protección: Recomendado: gafas anti_x0002_salpicaduras , gafas de seguridad con protección lateral. Evitar su liberación al medio ambiente. No respirar el polvo. No comer, beber ni fumar durante su utilización. Lavarse concienzudamente tras la manipulación. RESPUESTA: EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un  centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente  todas las prendas contaminadas. Lave la piel contaminada con el de 3% de ácido  acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Llamar inmediatamente a un centro de información toxicológica o a un médico. Lavar las prendas contaminadas antes de volver a usarlas. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente que contenga Diphoterin (por ejemplo,
Previn ®), levantando ocasionalmente los párpados superior e inferior. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar  inmediatamente a un centro de información toxicológica o a un médico. ALMACENAMIENTO: Guardar bajo llave. ELIMINACION: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales,
nacionales e internacionales.",x,x,x,,,X,,,
,2025-11-13 00:00:00,KAO-QB00002,ASFIER 121,Mezcla,PELIGRO,+34 93 739 9445,"H302, H314, H318, H372, H400, H410","PREVENCIÓN:  Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar 
prendas de protección: Recomendado: Traje de protección. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , máscara. Evitar su liberación al medio ambiente. No respirar el polvo. No comer, beber ni fumar durante su utilización.
Lavarseconcienzudamente tras la manipulación. RESPUESTA: EN CASO DE INHALACIÓN: Transportar a la víctima al exterior y mantenerla en reposo en una posición confortable para respirar. Llamar inmediatamente a un centro 
de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar 
inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Lave la piel contaminada con 
el de 3% de ácido acético o el agente que contiene Diphoterin.
Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON 
LOS OJOS: Lavar inmediatamente con un agente que contenga Diphoterin, levantando ocasionalmente los párpados superior e inferior.
 Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ALMACENAMIENTO: Guardar cerrado. ELIMINACIÓN: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.
",X,X,X,,,X,,,
,2025-11-13 00:00:00,KAO-QB00003,ASFIER 208,Mezcla,PELIGRO,+34 93 739 9445," Nocivo en caso de ingestión.
Provoca quemaduras graves en la piel y lesiones oculares graves.
Provoca daños en los órganos tras exposiciones prolongadas o repetidas.
Muy tóxico para los organismos acuáticos, con efectos nocivos duraderos.","PREVENCIÓN: Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, Viton®.
Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. Llevar 
prendas de protección: Recomendado: Traje de protección. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. RESPUESTA: EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de 
información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar 
inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o 
ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar 
inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios 
minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar 
inmediatamente a un centro de información toxicológica o a un médico. ALMACENAMIENTO: Guardar cerrado. ELIMINACIÓN: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",X,X,X,,,X,,,
,2025-11-13 00:00:00,KAO-QB00004,ASFIER 211 GRANEL PIPA,Mezcla,PELIGRO,+34 93 739 9445,"H314, H318, H373, H411","P280, P273, P260, P264, P391, P304 + P340, P310, P301 + P310, P330, P331, P303 + P361 + P353, P310, P363, P305 + P351 + P338, P405, P501",,X,X,,,X,,,
,2025-11-13 00:00:00,KAO-QB00005,ASFIER 211 TAMBOR,Mezcla,PELIGRO,+34 93 739 9445,"H314, H318, H373, H411","P280, P273, P260, P264, P391, P304 + P340, P310, P301 + P310, P330, P331, P303 + P361 + P353, P310, P363, P305 + P351 + P338, P405, P501",,X,X,,,X,,,
,2025-10-28 00:00:00,KAO-QB00007,ASFIER 216 S/P,Mezcla,PELIGRO,+34 93 739 9445,"Provoca quemaduras graves en la piel y lesiones oculares graves. Puede provocar daños en los órganos tras exposiciones prolongadas o repetidas. (tracto gastrointestinal) Tóxico para los organismos acuáticos, con efectos nocivos duraderos.","PREVENCION: Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar prendas de protección: Recomendado: bata de laboratorio Traje de protección. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , gafas de seguridad con protección lateral. Evitar su liberación al medio ambiente. No respirar los vapores. Lavarse concienzudamente tras la manipulación. RESPUESTA: Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar 
a la persona al aire libre y mantenerla en una posición que le facilite la respiración.
Llamar inmediatamente a un centro de información toxicológica o a un médico. EN 
CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información 
toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE 
CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente que contenga Diphoterin (por ejemplo, Previn ®), levantando ocasionalmente  los párpados superior e inferior. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico.",,,,,,,,,
,2025-11-13 00:00:00,KAO-QB00088,ASFIER 45T, 68910-84-9,PELIGRO,+34 93 739 9445,"H302, H314, H318","P280, P270, P264, P301 + P310, P301 + P310 , P330, P331, P303 + P361 + P353 + P310, P363, P305 + P351 + P338 , P310, P405, P501",X,X,,,,,,,
,2025-10-21 00:00:00,KAO-QB00088,ASFIER 45T,68910-84-9,PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca graves quemaduras en la piel y lesiones oculares.,"PREVENCIÓN: Usar guantes de protección: > 8 horas (tiempo de saturación): caucho butílico. Usar 
protección para los ojos o la cara: Recomendado: lentes anti-salpicaduras , máscara. Usar ropa protectora: Recomendado: Traje de protección. No comer, beber o fumar 
mientras se manipula este producto. Lavarse cuidadosamente las manos después de 
la manipulación. INTERVENCIÓN: EN CASO DE INHALACIÓN: Transportar la víctima al aire libre y mantenerla en reposo 
en una posición que le facilite la respiración. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE INGESTIÓN:
Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un  médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON 
LA PIEL (o el pelo): Quitar inmediatamente toda la ropa contaminada. Lave la piel 
contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin Lavar la ropa contaminada antes de volverla a usar. Llamar 
inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente 
que contenga Diphoterin (por ejemplo, Previn ®), levantando ocasionalmente los 
párpados superior e inferior. Quitar las lentes de contacto, cuando estén presentes y pueda hacerse con facilidad. Proseguir con el lavado. Llamar inmediatamente a un 
CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. ALMACENAMIENTO: Guardad bajo llave. ELIMINACIÓN: Eliminar el contenido y recipiente conforme a todas las reglamentaciones locales,
regionales, nacionales e internacionales.",X,X,,,,,,,
,2025-11-13 00:00:00,KAO-QB00008,ASFIER 510,151661-99-3,PELIGRO,+34 93 739 9445,"H302, H314, H372, H410","P280, P273, P260, P270, P264, P391, P304+P310, P301+P310, P303+P361+P353, P310, P405, P501",X,X,X,,,X,,,
,2025-11-28 00:00:00,KAO-QB00009,ASFIER 710,"7732-18-5, 130014-37-8",ATENCION,+34 93 739 9445,"H302, H315, H319, H410","PREVENCION: Llevar guantes de protección: > 8 horas (tiempo de detección): caucho natural (látex). Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , gafas de seguridad con protección lateral. Evitar su liberación al medio ambiente. No comer, beber ni fumar durante su utilización. Lavarse concienzudamente tras la manipulación. RESPUESTA:  Recoger el vertido. EN CASO DE INGESTIÓN: Llamar a un CENTRO DE  INFORMACIÓN TOXICOLÓGICA o a un médico si la persona se encuentra mal. Enjuagarse la boca. Quitar las prendas contaminadas y lavarlas antes de volver a  usarlas. EN CASO DE CONTACTO CON LA PIEL: Lavar con abundante agua. En  caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON  LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes  de contacto, si lleva y resulta fácil. Seguir aclarando. Si persiste la irritación ocular: Consultar a un médico. ELIMINACIÓN: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",X,,,,,X,,,
,2025-11-13 00:00:00,KAO-QB00010,ASFIER N480L,151661-99-3,PELIGRO,+34 93 739 9445,"H302, H314, H318, H400, H410","P280, P273, P270, P264, P391, P304+P310, P301+P310, P303+P361+P353, P310, P405, P501",X,X,,,,X,,,
,2025-10-16 00:00:00,IFF-QB00126,AVEIA PLUS PONS CR,Mezcla,ATENCION,01 800 002 1400,"H317, H361","P280, P302 + P352",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00127,BABY HYPO 168,Mezcla,ATENCION,01 800 002 1400,"H317, H361","P261, P280, P302 + P352, P308 + P313, P333 + P313, ",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00073,BAMBOO BOO 664,Mezcla,PELIGRO,01 800 002 1400,"H227, H304, H315, H317, H319, H361","P210, P261, P280, P301 + P310, P302 + P352, P305 + P351 + P338, P308 + P313, P331, P333 + P313, P337 + P313, P370 + P378",X,,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00220,BAMBOO SENSE 2150 S/P,Mezcla,PELIGRO,01 800 002 1400,"H227, H304, H315, H317, H319,  H361","P210, P280, P301 + P310, P302 + P352, P305 + P351 + P338, P331",X,,X,,,,,,
,2025-10-28 00:00:00,PRD-QB00001,BASE AROMATIZANTE,Mezcla,PELIGRO,01 800 002 1400,"H302 + H312, H318, H411","P264, P270, P273, P280, P301+P312, P302 + P352, P305 + P351 + P338, P301 + P330 + P331, P332 + P313, P337 + P313, P362 + P364, P391, P501",X,X,,,,X,,,
