Codigo interno,CODIGO VARIANTE,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos,Pictogram 1,Pictogram 2,Pictogram 3,Pictogram 4
IFF-QB00184,P0102022,CIC 0441 HB,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
,P0102030,COM 2047 CAROLINA HERRERA MUJER ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00177,P0102032,FF SMT 1028 HARMANY,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
,P0102036,L`EAU PAR KENZO FFSMT1018 ,Mezcla, - , - , - , - ,1,1,1,1
,P0103001,HUGO BOSS DAMA,Mezcla, - , - , - , - ,1,1,1,1
,P0103006,AMARIGE DAMA,Mezcla, - , - , - , - ,1,1,1,1
,P0103014,CK ONE DAMA,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00194,P0104020,SPORTIVO 971 ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00191,P0104021,MEN 500,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00186,P0104022,FITNESS 248,Mezcla, - , - , - , - ,1,1,1,1
,P0105999,PERFUME 60 ML ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00021,P0201001,LEMON 926,Mezcla,PELIGRO,1 800 002 1400,"H226, H304, H315,
H317, H319, H411","P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P301 + P310,
P303 + P361 + P353,  P305 + P351 + P338, P331,  P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B ,G,H,1
IFF-QB00022,P0201002,LIME 146,Mezcla,PELIGRO,1 800 002 1400,"H227, H304, H315, H317, H318, H410","P210, P261, P264, P272, P273, P280, P301 + P310, P302 + P352, P305 + P351 + P338, P331, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,H,I,E
IFF-QB00023,P0201003,LIME 223,Mezcla,PELIGRO,1 800 002 1400,"H226, H304, H315,
H317, H318, H400,
H411","P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338 + P310, P331, P333 + P313, P362 + P364,
P370 + P378, P391, P403 + P235, P405, P501 ",G,H,1,1
IFF-QB00014,P0201004,FRUITY MIX 327,Mezcla,ATENCION,1 800 002 1400,"H303, H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313, P362 + P364, P391, P501",G,I,1,1
IFF-QB00024,P0201006,LIMON 990,Mezcla,PELIGRO,1 800 002 1400,"H226, H304, H315, H317, H319, H411","P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P331, P333 + P313,  P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,G,H,1
IFF-QB00004,P0201007,CITRUS BLEND 144 EXPPLOSION FRUTAL,Mezcla,PELIGRO,1 800 002 1400,"H303, H304, H315, H317, H318, H410","P261, P264, P272, P273, P280, P301 + P310, P302 + P352, P305 + P351 + P338 + P310, P312, P331, P333 + P313, P362 + P364, P391, P405, P501",G,I,H,E
IFF-QB00005,P0201008,CITRUS FRESH 140,Mezcla,PELIGRO,1 800 002 1400,"H226, H304, H315, H317, H318, H410","P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P301 + P310, P303 + P361 + P353, P305 + P351 + P338 + P310, P331, P333 + P313, P362 + P364,
P370 + P378, P391, P403 + P235, P405, P501",B,G,H,E
IFF-QB00026,P0201009,NARANJA 336,Mezcla,PELIGRO,1 800 002 1400,"H226, H304, H315, H317, H319, H410","P210, P233, P240, P241, P242, 243, P261, P264, P272, P273, P280, P301 + P310, P303 + P361 + P353, P305 + P351 + P338, P331, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,G,H,E
,P0201014,SPARK CITRUS 319 ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00003,P0201015,CITRIC TWIST 592 ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H411","P210, P261, P264, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P370 + P378, P391 P403 + P235, P501",G,H,1,1
IFF-QB00018,P0202001,LAVANDA 347,Mezcla,PELIGRO,1 800 002 1400,"H227, H304, H315, H317, H319, H411","P210, P261, P264, P272, P273, P280, P301 + P310, P302 + P352, P305 + P351 + P338, P331,  P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,I,H,1
,P0202004,LAVENDER SCORE 854,Mezcla,PELIGRO,1 800 002 1400,"H315, H317, H318, H401, H412","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338 + P310, P333 + P313, P362 + P364, P501",E,G,1,1
,P0202005,FRESCURA DE DURAZNO 708 ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00302,P0202007,SER 1011 (LAVANDA) ,Mezcla, -  , -  , -  , -  ,1,1,1,1
IFF-QB00019,P0202008,LAVENDER SKY 099 MOD,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315, H317, H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352,  P305 + P351 + P338, P312,  P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,I,1,1
IFF-QB00020,P0202009,LAVENDER TOUCH 830,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,I,1,1
IFF-QB00030,P0203001,SEA FRESH 652,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352,  P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
IFF-QB00032,P0203003,SEA FRESH 820 (MARINE 667-W),Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
IFF-QB00031,P0203004,SEA FRESH 704,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352,  P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
IFF-QB00033,P0203006,SER 1002 (PINO),Mezcla,PELIGRO,1 800 002 1400,"H226, H304, H315, H317,
H319, H410","P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P301 + P310,
P303 + P361 + P353, P305 + P351 + P338, P331, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,I,H,B
,P0203010,TROPICAL SPLASH ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00025,P0203014,MARINE LOVE 818,Mezcla,ATENCION,1 800 002 1400,"H226, H316, H317,
H411","P210, P233, P240, P241, P242, P243, P261, P272, P273, P280, P303 + P361 + P353, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",B,G,H,1
IFF-QB00011,P0204001,FLORAL 001-E MOD,Mezcla,PELIGRO,1 800 002 1400,"H226, H315, H317,
H318, H361, H410","P201, P202, P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P303 + P361 + P353, P305 + P351 + P338 + P310, P333 + P313,  P362 + P364, P391, P403 + P235, P405, P501
",E,I,H,B
IFF-QB00012,P0204002,FLORAL 841,Mezcla,PELIGRO,1 800 002 1400,"H227, H315, H317,
H318, H361, H411","P201, P202, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338 + P310, P308 + P313, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,E,H,I
IFF-QB00010,P0204004,FLORAL (PICCOLO 727),Mezcla,ATENCION,1 800 002 1400,"H303, H315, H317,
H319, H351, H411","P201, P202, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313, P362 + P364, P391, P405, P501",G,H,I,1
IFF-QB00013,P0209005,FLORAL P 0830,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319,
H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,  337 + P313,  P362 + P364, P391, P501",G,I,1,1
IFF-QB00214,P0209007,SER 1054 (DETERG. LIQ.),Mezcla,PELIGRO,1 800 002 1400,"H227, H304, H315, H317, H319, H411","P210, P261, P264, P272, P273, P280, P301 + P310, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364,  P370 + P378, P391, P403 + P235, P405, P501",G,I,H,1
IFF-QB00209,P0209008,MAX FRESCURA 777 ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H361, H411","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501
",G,I ,H,1
IFF-QB00116,P0301001,TE VERDE SMT 1039,Mezcla,ATENCION,1 800 002 1400,"H227, H316, H317,
H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352, P333 + P313, P337 + P313, P362 + P364,  P370 + P378, P391, P403 + P235, P501",G,I,1,1
IFF-QB00109,P0301002,SPICY LOVE 456 ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
,P0301003,OCEAN FRESH 862 ,Mezcla,ATENCION,1 800 002 1400,"H226, H315, H317,
H318, H361, H411","P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P303 + P361 +P353, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",B,G,I,1
IFF-QB00075,P0301004,BOSQUE 904-A,Mezcla,ATENCION,1 800 002 1400,"H227, H316, H317,
H411","P210, P261, P272, P273, P280, P302 + P352, P333 + P313 , P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
,P0301008,FOUGERE 009-B ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00091,P0301009,FOUGERE 087 (DRAKKAR),Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352 P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
IFF-QB00092,P0301010,FOUGERE 959-A (DRAKKAR),Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378,P391, P403 + P235, P501",G,I,1,1
IFF-QB00076,P0301014,BOSS 3117 (NATURAL COCONUT),Mezcla,ATENCION,1 800 002 1400,"H316, H317, H402","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P501",G,I,H,1
IFF-QB00077,P0301017,BOSS 3156 (TALK),Mezcla,PELIGRO,1 800 002 1400,"H316, H317, H318,
H411","P261, P272, P273, P280, P302 + P352, P305 + P351 + P338 + P310, P333 + P313,
P362 + P364, P391, P501",G,I,E,1
IFF-QB00079,P0301018,CHA 251,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352,  P305 + P351 + P338, P333 + P313,  P337 + P313,  P362 + P364,  P370 + P378, P391, P403 + P235, P501  ",G,I,1,1
IFF-QB00089,P0301019,ETERN 0021,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H411","P261, P264, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,I,1,1
,P0301021,RAB 015-K ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00072,P0301022,APPLE 930,Mezcla,ATENCION,1 800 002 1400,"H227, H316, H317,
H411","P210, P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501
",G,I,1,1
IFF-QB00081,P0301023,CHERRY 697,Mezcla,ATENCION,1 800 002 1400,"H226, H316, H317,
H319, H410","P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P303 + P361 + P353, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",B,G,I,1
IFF-QB00103,P0301024,PEACH 299 MOD,Mezcla,ATENCION,1 800 002 1400,"H227, H316, H317,
H411","P210, P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
IFF-QB00093,P0301025,FRESA 80,Mezcla,ATENCION,1 800 002 1400,"H227, H316, H317,
H411","P210, P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
IFF-QB00117,P0301026,TROPIC ICE M1210 ,Mezcla, - , - , - , - ,1,1,1,1
,P0301027,ROSAS VEL5020 ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00071,P0301028,SOFT BABY 611,Mezcla,PELIGRO,1 800 002 1400,"H226, H316, H317,
H318, H411","P210, P233, P240, P241, P242, P243, P261, P272, P273, P280, P303 + P361 + P353,
P305 + P351 + P338 + P310, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,H,B
,P0301037,GREEN TEA FRESH 691 ,Mezcla, - , - , - , - ,1,1,1,1
,P0301105,BOSS 3115 FV (VAINILLA CHOCOLATE) ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00101,P0301111,MNO-015G (CAR. HERR.),Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302+P352, P333+P313,
P362+ P364, P391, P501",G,I,1,1
IFF-QB00087,P0301112,COCO 120-A,Mezcla,ATENCION,1 800 002 1400,"H316, H317","P261, P272, P280, P302+P352, 
P333+P313, P362+ P364, P501",G,1,1,1
IFF-QB00119,P0301113,UVA AIR 814 ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00084,P0301117,CHOCOLAT MOD ,Mezcla, - , - , - , - ,1,1,1,1
,P0301118,COCO PARADISE 444 ,Mezcla, - , - , - , - ,1,1,1,1
,P0302001,CHIRSTMAS APPLEDELICE 583 FV ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00074,P0302003,BELL CINNAMOND 575 FV,Mezcla,ATENCION,1 800 002 1400,"H227, H316, H317
H401, H412
","P210, P261, P272, P273, P280
P302 + P352, P333 + P313
P362 + P364, P370 + P378
P403 + P235, P501",G,1,1,1
,P0302004,CHIRSTMAS BAKERY LOVE 014 FV ,Mezcla, - , - , - , - ,1,1,1,1
,P0302006,CHIRSTMAS FRUITY RED 400 FV ,Mezcla, - , - , - , - ,1,1,1,1
,P0302007,MINT FRESH M 811 ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00082,P0302009,CHIRSTMAS GINGERAPPLE 712 FV ,Mezcla, - , - , - , - ,1,1,1,1
,P0302010,CHIRSTMAS GARDEN 711 FV ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00120,P0302011,VELAQUIM 4 (CANELA) FV,Mezcla,PELIGRO,1 800 002 1400,"H227, H303, H316,
H317, H319, H350,
H411","P201, P202, P210, P261, P264, P272, P273, P280,
P302 + P352, P305 + P351 + P338, P312, P333 + P313,
P337 + P313,  P362 + P364, P370 + P378, P391, P403 + P235, P405, P501

",G,I,H,1
IFF-QB00083,P0302014,CHIRSTMAS VELAQUIM 53 (VAINILLA) FV,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00108,P0302015,SPICY AMBER 973 ,Mezcla,PELIGRO,1 800 002 1400,"H303, H316, H317, H319, H350, H411","P201, P202, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313, P362 + P364, P391, P405, P501",H,G,I,1
,P0303002,POTPOURRI 105,Mezcla, - ,1 800 002 1400, - , - ,1,1,1,1
IFF-QB00095,P0303003,HERBAL 550,Mezcla,PELIGRO,1 800 002 1400,"H227, H304, H315,
H317, H318, H400,
H411","P210, P261, P264,
P272, P273, P280, 
P301 + P310, 
P302 + P352,
P305 + P351 + P338 + P310, P331, 
P333 + P313,
P362 + P364,
P370 + P378, P391,
P403 + P235, P405,
P501",G,I,H,E
,P0303016,FLYING METHOD 555,Mezcla,ATENCION,1 800 002 1400,"H227, H316, H317, H319, H411","P210, P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P370+P378, P391, P403+P235, P501",G,I,1,1
,P0304002,POTPURRY FLORAL (MILENIUM) ,Mezcla, -  ,1 800 002 1400, -  , -  ,1,1,1,1
,P0304003,POTPURRI FLORAL  (mexico) ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H410","P210, P261, P264, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
,P0306020,HENO DE PRAVIA 216 ,Mezcla, - ,1 800 002 1400, - , - ,1,1,1,1
IFF-QB00099,P0311018,MC QUEEN 557,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315, H317, H319, H361, H411","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",H,G,I,1
IFF-QB00088,P0311019,DRAK BLACK 558 ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H410","P210, P261, P264, P272, P273, P280, P302 + P352,  P305 + P351 + P338, P333 + P313,  P337 + P313, P362 + P364,  P370 + P378, P391, P403 + P235, P501 ",G,1,1,1
IFF-QB00094,P0311021,GREEN TEA & CHAI 202,Mezcla,PELIGRO,1 800 002 1400,"H227, H304, H315, H317, H318, H400, H411","P210, P261, P264, P272, P273, P280, P301 + P310, P302 + P352, P305 + P351 + P338 + P310, P331, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,E,H,I
IFF-QB00090,P0311022,FLORAL HOME 413,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H410","P261, P264, P272, P273, P280, P310, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313, P362 + P364, P392, P501",G,I,1,1
IFF-QB00113,P0311023,SWEET ANIS 972,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,I,1,1
IFF-QB00039,P0401003,BOSS 86,Mezcla,ATENCION,1 800 002 1400,"H303, H315, H317, H319, H361, H411","P201, P202, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313, P362 + P364, P391, P405, P501",H,G,I,1
IFF-QB00050,P0401005,FLORAL ROSS FS 6596,Mezcla,PELIGRO,1 800 002 1400,"H315, H317, H318,
H411","P261, P264, P272, P273, P280,
P302 + P352,
P305 + P351 + P338 + P310,
P333 + P313, P362 + P364, P391,
P501
",E,G,I,1
IFF-QB00067,P0401007,VCA BLUE 629 FLOR DE LUNA,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H318,
H411","P261, P264, P272, P273, P280,
P302 + P352,
P305 + P351 + P338 + P310,
P333 + P313, P362 + P364, P391,
P501
",G,I,1,1
,P0401009,ROSSO VERLO 739 ,Mezcla,ATENCION,1 800 002 1400,"H303, H315, H317, H319, H361, H400, H411","P201, P202, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313, P362 + P364, P391, P405, P501",H,G,I,1
IFF-QB00068,P0401010,VCB BLUE 231,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H361, H411","P201, P202, P210, P261, P264,
P272, P273, P280, P302 + P352,
P305 + P351 + P338, P308 + P313, 
P333 + P313, P337 + P313
P362 + P364, P370 + P378, P391
P403 + P235, P405, P501",G,I,H,1
IFF-QB00041,P0401011,CELESTIAL DREAMS 958,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H361, H411","P201, P202, P210, P261, P364, P272, P273, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",H,G,I,1
IFF-QB00061,P0401012,QUIM 1147 FS,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H361, H410","P201, P202, P210, P261, P264,
P272, P273, P280, P302 + P352,
P305 + P351 + P338, P308 + P313, 
P333 + P313, P337 + P313
P362 + P364, P370 + P378, P391
P403 + P235, P405, P501",G,I,H,1
