Codigo interno,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos (Frases P),Source_File,Exclamación,Corrosión,Peligro para la salud,Calavera,Llama,Ambiente,Llama sobre círculo,Bomba explotando,Cilindro de gas
VAR-QB00013,ALCANFOR,76-22-2,ATENCION,01 800 002 1400,"H228, H302, H315, H319, H335","P210, P240, P261, P264, P270, P271, P280, P301 + P312, P302 + P352, P304 + P340, P312, P330, P370 + P378, P305 + P351 + P338, P332+P313, P337+P313, P264+P364, P404+P235, P233, P405, P501",Master,,,X,,,,,,
KAO-QB00018,ALCOHOL ESTEARILICO KALKOL 8098,112-92-5,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00016,ALCOHOL LAURICO 3 S/P,68439-50-9,PELIGRO,01 800 002 1400,"H302, H313, H315, H402","P264, P310, P301+P312, P302+P352, P305+P351+P338, P501",Master,X,X,,,,X,,,
VAR-QB00017,ALCOHOL LAURICO 7 MOLES S/P,"3055-97-8, 7732-18-5",PELIGRO,01 800 002 1400,"H302, H315, H318, H335, H402","P261, P264, P270, P280, P301+P312, P302+P352, P305+P351+P338, P362, P501
",Master,X,X,,,,X,,,
VAR-QB00020,ALCOHOL TRIDECILICO 6 MOLES S/P,78330-21-9,PELIGRO,01 800 002 1400,"H302, H313, H315, H318, H402","P264, P270, P273, P280, P301 + P312, P305 + P351 + P338, P302 + P352, P310, P312, P321, P330, P332 + P313, P362 + P364, P501",Master,X,X,,,,,,,
VAR-QB00021,ALCOHOL TRIDECILICO 8 MOLES S/P,78330-21-9,PELIGRO,01 800 002 1400,"H302, H313, H315, H318, H402","P264, P270, P273, P280, P310, P312, P321, P330, P301 + P312, P302 + P352, P305 + P351 + P338, P332 + P313, P362 + P354, P501 ",Master,X,X,,,,,,,
KAO-QB00019,ALFANOX 46,Mezcla,PELIGRO,+34 93 739 9445,"H315, H318","PREVENCIÓN:  Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, Viton, caucho nitrílico, neopreno. Llevar gafas o máscara de protección: Recomendado: gafas 
anti-salpicaduras , gafas de seguridad con protección lateral. Lavarse  concienzudamente tras la manipulación. RESPUESTA:  Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. EN CASO DE 
CONTACTO CON LA PIEL: Lavar con abundante agua. En caso de irritación cutánea:
Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar 
cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva  y resulta fácil. Seguir aclarando. Llamar inmediatamente a un CENTRO DE 
INFORMACION TOXICOLOGICA o a un médico.",Master,,X,,,,,,,
LUB-QB00003,ALGAPUR HSHO,Mezcla,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00081,ALLIANZ OPT PAIL,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00123,ALMOND 339 MOOD 2,Mezcla,ATENCION,01 800 002 1400,"H227, H317, H319, H361","P210, P261, P280, P302 + P352,  P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 +P378",Master,X,,X,,,,,,
KAO-QB00021,AMIDET N,Sustancia,ATENCION,+34 93 739 9445,"Provoca irritación cutánea.
Provoca irritación cutánea. Nocivo para los organismos acuáticos, con efectos nocivos duraderos.","PREVENCIÓN: Llevar guantes de protección: 1 - 4 horas (tiempo de detección): goma de butilo, Viton;< 1 hora (tiempo de detección) :neopreno,caucho nitrílico. Evitar su liberación al medio ambiente. Lavarse las manos concienzudamente tras la
manipulación. RESPUESTA: EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes.
En caso de irritación cutánea: Consultar a un médico. ELIMINACIÓN: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Master,X,,,,,,,,
IFF-QB00176,AMOR CON J,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",Master,X,,X,,,,,,
ASH-QB00078,ANTARON SOJA,56-81-5,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00065,ANTARON V220F,28211-18-9,ATENCION,1-800-274-5263,H319,"P264, P280, P305 + P351 + P338",Master,X,,,,,,,,
IFF-QB00125,APPLE 872 MANZANA VERDE,Mezcla,ATENCION,01 800 002 1400,"H317, H361","P261, P280, P302 + P352, P308 + P313, P333 + P313, ",Master,X,,X,,,,,,
ASH-QB00085,AQUAFLEX XL-30,Mezcla,ATENCION,1-800-274-5263,H411,"P273, P391, P501",Master,,,,,,X,,,
ASH-QB00071,AQUALON EC-N200 PC,9004-57-3,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
KAO-QB00001,ASFIER 100,61791-55-7,PELIGRO,+34 93 739 9445,"H302, H314, H318, H372, H400, H410","PREVENCION: Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, caucho nitrílico. Llevar prendas de protección: Recomendado: Traje de protección, bata de laboratorio. Llevar gafas o máscara de protección: Recomendado: gafas anti_x0002_salpicaduras , gafas de seguridad con protección lateral. Evitar su liberación al medio ambiente. No respirar el polvo. No comer, beber ni fumar durante su utilización. Lavarse concienzudamente tras la manipulación. RESPUESTA: EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un  centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente  todas las prendas contaminadas. Lave la piel contaminada con el de 3% de ácido  acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Llamar inmediatamente a un centro de información toxicológica o a un médico. Lavar las prendas contaminadas antes de volver a usarlas. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente que contenga Diphoterin (por ejemplo,
Previn ®), levantando ocasionalmente los párpados superior e inferior. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar  inmediatamente a un centro de información toxicológica o a un médico. ALMACENAMIENTO: Guardar bajo llave. ELIMINACION: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales,
nacionales e internacionales.",Master,x,x,x,,,X,,,
KAO-QB00003,ASFIER 208,Mezcla,PELIGRO,+34 93 739 9445," Nocivo en caso de ingestión.
Provoca quemaduras graves en la piel y lesiones oculares graves.
Provoca daños en los órganos tras exposiciones prolongadas o repetidas.
Muy tóxico para los organismos acuáticos, con efectos nocivos duraderos.","PREVENCIÓN: Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, Viton®.
Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. Llevar 
prendas de protección: Recomendado: Traje de protección. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. RESPUESTA: EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de 
información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar 
inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o 
ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar 
inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios 
minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar 
inmediatamente a un centro de información toxicológica o a un médico. ALMACENAMIENTO: Guardar cerrado. ELIMINACIÓN: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Master,X,X,X,,,X,,,
KAO-QB00004,ASFIER 211 GRANEL PIPA,Mezcla,PELIGRO,+34 93 739 9445,"H314, H318, H373, H411","P280, P273, P260, P264, P391, P304 + P340, P310, P301 + P310, P330, P331, P303 + P361 + P353, P310, P363, P305 + P351 + P338, P405, P501",Master,,X,X,,,X,,,
KAO-QB00005,ASFIER 211 TAMBOR,Mezcla,PELIGRO,+34 93 739 9445,"H314, H318, H373, H411","P280, P273, P260, P264, P391, P304 + P340, P310, P301 + P310, P330, P331, P303 + P361 + P353, P310, P363, P305 + P351 + P338, P405, P501",Master,,X,X,,,X,,,
KAO-QB00007,ASFIER 216 S/P,Mezcla,PELIGRO,+34 93 739 9445,"Provoca quemaduras graves en la piel y lesiones oculares graves. Puede provocar daños en los órganos tras exposiciones prolongadas o repetidas. (tracto gastrointestinal) Tóxico para los organismos acuáticos, con efectos nocivos duraderos.","PREVENCION: Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar prendas de protección: Recomendado: bata de laboratorio Traje de protección. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , gafas de seguridad con protección lateral. Evitar su liberación al medio ambiente. No respirar los vapores. Lavarse concienzudamente tras la manipulación. RESPUESTA: Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar 
a la persona al aire libre y mantenerla en una posición que le facilite la respiración.
Llamar inmediatamente a un centro de información toxicológica o a un médico. EN 
CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información 
toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE 
CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente que contenga Diphoterin (por ejemplo, Previn ®), levantando ocasionalmente  los párpados superior e inferior. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico.",Master,,,,,,,,,
KAO-QB00088,ASFIER 45T,68910-84-9,PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca graves quemaduras en la piel y lesiones oculares.,"PREVENCIÓN: Usar guantes de protección: > 8 horas (tiempo de saturación): caucho butílico. Usar 
protección para los ojos o la cara: Recomendado: lentes anti-salpicaduras , máscara. Usar ropa protectora: Recomendado: Traje de protección. No comer, beber o fumar 
mientras se manipula este producto. Lavarse cuidadosamente las manos después de 
la manipulación. INTERVENCIÓN: EN CASO DE INHALACIÓN: Transportar la víctima al aire libre y mantenerla en reposo 
en una posición que le facilite la respiración. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE INGESTIÓN:
Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un  médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON 
LA PIEL (o el pelo): Quitar inmediatamente toda la ropa contaminada. Lave la piel 
contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin Lavar la ropa contaminada antes de volverla a usar. Llamar 
inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente 
que contenga Diphoterin (por ejemplo, Previn ®), levantando ocasionalmente los 
párpados superior e inferior. Quitar las lentes de contacto, cuando estén presentes y pueda hacerse con facilidad. Proseguir con el lavado. Llamar inmediatamente a un 
CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. ALMACENAMIENTO: Guardad bajo llave. ELIMINACIÓN: Eliminar el contenido y recipiente conforme a todas las reglamentaciones locales,
regionales, nacionales e internacionales.",Master,X,X,,,,,,,
KAO-QB00008,ASFIER 510,151661-99-3,PELIGRO,+34 93 739 9445,"H302, H314, H372, H410","P280, P273, P260, P270, P264, P391, P304+P310, P301+P310, P303+P361+P353, P310, P405, P501",Master,X,X,X,,,X,,,
KAO-QB00009,ASFIER 710,"7732-18-5, 130014-37-8",ATENCION,+34 93 739 9445,"H302, H315, H319, H410","PREVENCION: Llevar guantes de protección: > 8 horas (tiempo de detección): caucho natural (látex). Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , gafas de seguridad con protección lateral. Evitar su liberación al medio ambiente. No comer, beber ni fumar durante su utilización. Lavarse concienzudamente tras la manipulación. RESPUESTA:  Recoger el vertido. EN CASO DE INGESTIÓN: Llamar a un CENTRO DE  INFORMACIÓN TOXICOLÓGICA o a un médico si la persona se encuentra mal. Enjuagarse la boca. Quitar las prendas contaminadas y lavarlas antes de volver a  usarlas. EN CASO DE CONTACTO CON LA PIEL: Lavar con abundante agua. En  caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON  LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes  de contacto, si lleva y resulta fácil. Seguir aclarando. Si persiste la irritación ocular: Consultar a un médico. ELIMINACIÓN: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Master,X,,,,,X,,,
KAO-QB00010,ASFIER N480L,151661-99-3,PELIGRO,+34 93 739 9445,"H302, H314, H318, H400, H410","P280, P273, P270, P264, P391, P304+P310, P301+P310, P303+P361+P353, P310, P405, P501",Master,X,X,,,,X,,,
PRD-QB00006,BASE PARA DIFUSORES AMBIENTALES,Mezcla,ATENCION,01 800 002 1400,"H227, H320","P210, P264, P280, P305+P351+P338, P337+P313, P370+P378, P403+P235, P501",Master,X,,,,,,,,
IFF-QB00178,BEAUTY LIFE 894,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319","P280, P302 + P352, P305 + P351 + P338",Master,X,,,,,,,,
IFF-QB00221,BELLE FEM 6040,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P280, P302 + P352, P305 + P351 + P338",Master,X,,X,,,,,,
ASH-QB00001,BENECEL,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,Mantener las mezclas de polvo y aire lejos de fuentes de ignición,Master,,,,,,,,,
VAR-QB00028,BENZOATO DE SODIO S/P,CAS 532-32-1,ATENCION,01 800 002 1400,"H319, H402","P264, P280, P273, P305+P351+P338, P337+P313 , P501",Master,X,,,,,X,,,
IFF-QB00223,BERRY PUNCH 867 FV,Mezcla,ATENCION,01 800 002 1400,"H317, H319","P280, P302 + P352, P305 + P351 + P338, ",Master,X,,,,,,,,
VAR-QB00031,BETAINA QB TOTE,61789-40-0/263-058-8,ATENCION,01 800 002 1400,"H315, H318","P264, P280, P303+P361+P353, P314, P403+P233",Master,X,,,,,,,,
ASH-QB00057,BLANOSE CMC 9H4F 421930,9004-32-4,ATENCION,1-800-274-5263,No Aplicable,Mantener las mezclas de polvo y aire lejos de fuentes de ignición,Master,,,,,,,,,
IFF-QB00198,BLUE MICRO MEMORIES 320 AZUL,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H351, H361, H373","P260, P280, P302 + P352, P305 + P351 +P338, P308 + P313, P333 + P313, P337 + P313",Master,X,,X,,,,,,
IFF-QB00226,BLUE MOMENT 759 S/P,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P280, P302 + P352, P305 + P351 + P338",Master,X,,X,,,,,,
IFF-QB00228,BOSQUE DE BAMBU,Mezcla,ATENCION,01 800 002 1400,"H227, H317, H319, H361","P210, P280, P302 + P352, P305 + P351 + P338",Master,X,,X,,,,,,
IFF-QB00229,BOSS 1363 FQ TANGO,Mezcla,PELIGRO,01 800 002 1400,"H227,H303,H315,H317,H318,H361,H411","P201,P202,P210,P261,P264,P272,P273,P280,P302+P352,P305+P351+P338,P312,P333+P313,P362+P364,P370+P378,P391,P403+P235, P405, P501",Master,X,X,X,,X,,,,
IFF-QB00180,BOSS 3023 ACQUA DI GIO,Mezcla,-,-,-,-,Master,1,1,1,1,,,,,
IFF-QB00076,BOSS 3117 NATURAL COCONUT,Mezcla,ATENCION,01 800 002 1400,H317,"P261, ,, P280, P302 + P352, P333 + P313, , P501",Master,X,,,,,,,,
IFF-QB00130,BOSS 3152 MOD,Mezcla,PELIGRO,01 800 002 1400,"H227, H315, H317, H318, H350, H361, H373","P210, P260, P280, P302 + P352, P305 + P351 + P338 + P310, P308 + P313, P370 + P378",Master,X,X,X,,,,,,
IFF-QB00077,BOSS 3156 TALK,Mezcla,PELIGRO,01 800 002 1400," H317, H319, H350","P261, ,, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",Master,X,,X,,,,,,
IFF-QB00001,BOTANIKA,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H351, H361","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",Master,X,,X,,,,,,
IFF-QB00001,BUENA NINA 979,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P280, P302 + P352, P305 + P351 + P338",Master,X,,X,,,,,,
VAR-QB00180,"C.M.C. 10,000","2836-32-0, 7647-14-5, 9004-32-4",No Aplicable,01 800 002 1400,No Aplicable,No aplicable,Master,,,,,,,,,
IFF-QB00236,CALVAN GEL 8020,Mezcla,PELIGRO,01 800 002 1400,"H227, H304, H315, H317, H361","P210, P280, P301 +P310, P302 + P352, P331",Master,X,,X,,,,,,
IFF-QB00183,CANAL AZUL 921,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361, H373","P210, P260, P280, P302 + P352, P305 + P351 + P338 + P310, P308 + P313, P370 + P378",Master,X,,X,,,,,,
ASH-QB00002,CAPAUXEIN G2 BIOFUNTIONAL,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
LUB-QB00010,CARBOPOL 956,584-08-7,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
LUB-QB00020,CARBOPOL EZ4,Mezcla,ATENCION,01 800 002 1400,"H319, H402","P264,P273, P280, P305 + P351 + P338, P337 + P313, P501",Master,X,,,,,,,,
LUB-QB00023,CARBOPOL ULTREZ 10,Mezcla,No Aplicable,01 800 002 1400,Puede formar concentraciones de polvo combustible en el aire,,Master,,,,,,,,,
LUB-QB00024,CARBOPOL ULTREZ 20,Mezcla,ATENCION,01 800 002 1400,"H319, H402","P264, P273, P280, P305 + P351 + P338, P337 + P313, P501",Master,X,,,,,,,,
LUB-QB00026,CARBOPOL XTRA 11 S/P,Mezcla,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00078,CEDARLOVE 443,Mezcla,ATENCION,01 800 002 1400,H317,"P261, P280, P302 + P352, P333 + P313, P501",Master,X,,,,,,,,
ASH-QB00004,CERAPHYL 230 S/P, 6938-94-9,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00072,CERAPHYL 847,2002427-61-2,ATENCION,1-800-274-5263,H410,"P273, P391, P501",Master,,,,,,X,,,
ASH-QB00007,CERAPHYL SLK S/P, 60209-82-7,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00323,CESCO LV40,-,-,-,-,-,Master,1,1,1,1,,,,,
KAO-QB00027,CETILICO KALCOL 6098,36653-82-4,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00131,CHAMOMILLE 398 MANZANILLA,Mezcla,ATENCION,01 800 002 1400,"H317, H361","P261, P280, P302 + P352, P308+ P313, P333 + P313, ",Master,X,,X,,,,,,
IFF-QB00132,CHAMP DE LA LAVAND 897,Mezcla,PELIGRO,01 800 002 1400,"H227, H315, H317, H318, H351, H361, H371","P210, P260, P280, P302 + P352, P305 + P351 + P338 HP310, P308 + P313, P333 + P313, P337 + P313, P370 + P378",Master,X,X,X,,,,,,
IFF-QB00080,CHAN 001-C MOD 1,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H351, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",Master,X,,X,,,,,,
IFF-QB00081,CHERRY 697 MOD 1,Mezcla,ATENCION,01 800 002 1400,"H226, H317, H319, H361","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",Master,X,,X,,X,,,,
IFF-QB00002,CHERRY BERRY 921,Mezcla,ATENCION,01 800 002 1400,H317,"P261, P280, P302 + P352, P333 + P313, P362 + P3624, P501",Master,X,,,,,,,,
IFF-QB00233,CHICLE 001D,Mezcla,PELIGRO,01 800 002 1400,"H226, H304, H315, H317","P210, P261, P280, P301 + P310, P302 + P352, P331, P333 + P313, P370 + P378",Master,X,,X,,X,,,,
IFF-QB00082,CHIRSTMAS GINGERAPPLE 712 FV,Mezcla,-,-,-,-,Master,1,1,1,1,,,,,
IFF-QB00084,CHOCOLAT MOD,Mezcla,-,-,-,-,Master,1,1,1,1,,,,,
IFF-QB00083,CHRISTMAS VELAQUIM 53 MOD VAINILLA,Mezcla,ATENCION,01 800 002 1400,"H317, H361","P261, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364",Master,X,,X,,,,,,
ASH-QB00008,CHROMAFEN S/P,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00234,CITRIC FRESH,Mezcla,PELIGRO,01 800 002 1400,"H227, H304, H315, H316, H317, H319, H411","P210, P233, P240, P241, P242, P243, P260, P264, P270, ,, P280, P301 + P310, P303 + P364, P370 + P378, P391, P403 + P235, P405, P501",Master,X,,X,,X,X,,,
IFF-QB00003,CITRIC TWIST 592,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H361","P210, P261, P280, P302 + P352, P308 + P313, P333 + P313, P370 + P378",Master,X,,X,,,,,,
IFF-QB00004,CITRUS BLEND 144 MOD,Mezcla,PELIGRO,01 800 002 1400,"H304, H315, H317, H318, H361","P261, P280, P301 + P310, P302 + P352, P305 + P351 + P338 + P310, P308 + P313, P331, P333 + P313",Master,X,X,X,,,,,,
IFF-QB00133,CITRUS SPLASH 690,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319","P280, P302+P352, P305+P351+P338",Master,X,,,,,,,,
IFF-QB00085,CLASSIC FLORAL 535,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H361","P261, P264, P280, P302 + P352, P308 + P313, P333 + P313",Master,X,,X,,,,,,
IFF-QB00134,CLEAN SCENT 655,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319","P210, P280, P302 + P352, P305 + P351 + P338",Master,X,,,,,,,,
IFF-QB00086,CLEANWOOD 860,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H361","P280, P302 + P352",Master,X,,X,,,,,,
IFF-QB00042,CLEAR WHITE 709 MOD 1,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",Master,X,,,,,,,,
IFF-QB00135,COCONUT AND ALOE 813,Mezcla,ATENCION,01 800 002 1400,H317,"P261, P280, P302 + P352, P333 + P313, P362 + P3624, P501",Master,X,,,,,,,,
VAR-QB00041,COLAGENO COLLATEIN N359,92113-31-0,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00051,COLOR AZUL BASICO 200% S/P,3521-06-0,No aplicable,01 800 002 1400,No aplicable,No aplicable,Master,,,,,,,,,
