Codigo interno ,CODIGO VARIANTE,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos,Pictogram 1,Pictogram 2,Pictogram 3,Pictogram 4,PESO TARA,PESO NETO,PESO BRUTO,LOTE,FECHA ELABORACION,FECHA INSPECCION,Cantidad,
IFF-QB00008,F0102001C,DSM 1034 MAR FRESCO,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H400,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313 P362 + P364, P370 + P378, P391 P403 + P235, P501",G,1,1,1,0.24,1.5,1.74,0018622781,8/27/2025,8/27/2026,1,
IFF-QB00008,F0102001D,DSM 1034 MAR FRESCO,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H400,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313 P362 + P364, P370 + P378, P391 P403 + P235, P501",G,1,1,1,0.24,2,2.24,0018622781,8/27/2025,8/27/2026,1,
IFF-QB00008,F0102001E,DSM 1034 MAR FRESCO,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H400,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313 P362 + P364, P370 + P378, P391 P403 + P235, P501",G,1,1,1,0.24,3,3.24,0018622781,8/27/2025,8/27/2026,1,
IFF-QB00008,F0102001F,DSM 1034 MAR FRESCO,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H400,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313 P362 + P364, P370 + P378, P391 P403 + P235, P501",G,1,1,1,0.24,4,4.24,0018622781,8/27/2025,8/27/2026,1,
IFF-QB00008,F0102001G,DSM 1034 MAR FRESCO,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H400,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313 P362 + P364, P370 + P378, P391 P403 + P235, P501",G,1,1,1,0.28,5,5.28,0018622781,8/27/2025,8/27/2026,1,
IFF-QB00008,F0102001H,DSM 1034 MAR FRESCO,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H400,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313 P362 + P364, P370 + P378, P391 P403 + P235, P501",G,1,1,1,0.48,10,10.48,0018622781,8/27/2025,8/27/2026,1,
IFF-QB00008,F0102001I,DSM 1034 MAR FRESCO,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H400,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313 P362 + P364, P370 + P378, P391 P403 + P235, P501",G,1,1,1,0.9,15,15.9,0018622781,8/27/2025,8/27/2026,1,
IFF-QB00008,F0102001J,DSM 1034 MAR FRESCO,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H400,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313 P362 + P364, P370 + P378, P391 P403 + P235, P501",G,1,1,1,0.9,20,20.9,0018622781,8/27/2025,8/27/2026,1,
,,,,,,,,,,,,,,,,,,,
IFF-QB00009,F0102003A,DSM 1068 (EUCALIPTO),Mezcla,PELIGRO,1 800 002 1400,"H226, H302, H304,
H315, H317, H319,
H371, H410","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P308 + P311, P331, P333 + P313,  337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,E,H,G,0.09,0.5,0.59,0018095284,3/20/2025,3/20/2026,1,
IFF-QB00009,F0102003B,DSM 1068 (EUCALIPTO),Mezcla,PELIGRO,1 800 002 1400,"H226, H302, H304,
H315, H317, H319,
H371, H410","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P308 + P311, P331, P333 + P313,  337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,E,H,G,0.09,1,1.09,0018095284,3/20/2025,3/20/2026,1,
IFF-QB00009,F0102003C,DSM 1068 (EUCALIPTO),Mezcla,PELIGRO,1 800 002 1400,"H226, H302, H304,
H315, H317, H319,
H371, H410","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P308 + P311, P331, P333 + P313,  337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,E,H,G,0.24,1.5,1.74,0018095284,3/20/2025,3/20/2026,1,
IFF-QB00009,F0102003D,DSM 1068 (EUCALIPTO),Mezcla,PELIGRO,1 800 002 1400,"H226, H302, H304,
H315, H317, H319,
H371, H410","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P308 + P311, P331, P333 + P313,  337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,E,H,G,0.24,2,2.24,0018095284,3/20/2025,3/20/2026,1,
IFF-QB00009,F0102003E,DSM 1068 (EUCALIPTO),Mezcla,PELIGRO,1 800 002 1400,"H226, H302, H304,
H315, H317, H319,
H371, H410","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P308 + P311, P331, P333 + P313,  337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,E,H,G,0.24,3,3.24,0018095284,3/20/2025,3/20/2026,1,
IFF-QB00009,F0102003F,DSM 1068 (EUCALIPTO),Mezcla,PELIGRO,1 800 002 1400,"H226, H302, H304,
H315, H317, H319,
H371, H410","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P308 + P311, P331, P333 + P313,  337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,E,H,G,0.24,4,4.24,0018095284,3/20/2025,3/20/2026,1,
IFF-QB00009,F0102003G,DSM 1068 (EUCALIPTO),Mezcla,PELIGRO,1 800 002 1400,"H226, H302, H304,
H315, H317, H319,
H371, H410","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P308 + P311, P331, P333 + P313,  337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,E,H,G,0.28,5,5.28,0018095284,3/20/2025,3/20/2026,1,
IFF-QB00009,F0102003H,DSM 1068 (EUCALIPTO),Mezcla,PELIGRO,1 800 002 1400,"H226, H302, H304,
H315, H317, H319,
H371, H410","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P308 + P311, P331, P333 + P313,  337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,E,H,G,0.48,10,10.48,0018095284,3/20/2025,3/20/2026,1,
IFF-QB00009,F0102003I,DSM 1068 (EUCALIPTO),Mezcla,PELIGRO,1 800 002 1400,"H226, H302, H304,
H315, H317, H319,
H371, H410","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P308 + P311, P331, P333 + P313,  337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,E,H,G,0.9,15,15.9,0018095284,3/20/2025,3/20/2026,1,
IFF-QB00009,F0102003J,DSM 1068 (EUCALIPTO),Mezcla,PELIGRO,1 800 002 1400,"H226, H302, H304,
H315, H317, H319,
H371, H410","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P308 + P311, P331, P333 + P313,  337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,E,H,G,0.9,20,20.9,0018095284,3/20/2025,3/20/2026,1,
,,,,,,,,,,,,,,,,,,,
IFF-QB00044,F0201001A,DSM 1007 TERSO BEBE,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,1,1,1,0.09,0.5,0.59,0017096198,6/8/2025,6/8/2026,1,
IFF-QB00044,F0201001B,DSM 1007 TERSO BEBE,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,1,1,1,0.09,1,1.09,0017096198,6/8/2025,6/8/2026,1,
IFF-QB00044,F0201001C,DSM 1007 TERSO BEBE,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,1,1,1,0.24,1.5,1.74,0017096198,6/8/2025,6/8/2026,1,
IFF-QB00044,F0201001D,DSM 1007 TERSO BEBE,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,1,1,1,0.24,2,2.24,0017096198,6/8/2025,6/8/2026,1,
IFF-QB00044,F0201001E,DSM 1007 TERSO BEBE,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,1,1,1,0.24,3,3.24,0017096198,6/8/2025,6/8/2026,1,
IFF-QB00044,F0201001F,DSM 1007 TERSO BEBE,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,1,1,1,0.24,4,4.24,0017096198,6/8/2025,6/8/2026,1,
IFF-QB00044,F0201001G,DSM 1007 TERSO BEBE,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,1,1,1,0.28,5,5.28,0017096198,6/8/2025,6/8/2026,1,
IFF-QB00044,F0201001H,DSM 1007 TERSO BEBE,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,1,1,1,0.48,10,10.48,0017096198,6/8/2025,6/8/2026,1,
IFF-QB00044,F0201001I,DSM 1007 TERSO BEBE,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,1,1,1,0.9,15,15.9,0017096198,6/8/2025,6/8/2026,1,
IFF-QB00044,F0201001J,DSM 1007 TERSO BEBE,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,1,1,1,0.9,20,20.9,0017096198,6/8/2025,6/8/2026,1,
,,,,,,,,,,,,,,,,,,,
IFF-QB00045,F0201002A,DSM 1020 EXIT PRADE ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411.","P210, P261, P264, P272, P273, P280, P302+P252, P305+P351+P338, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501.",G,1,1,1,0.09,0.5,0.59,0018622778,8/24/2025,8/27/2026,1,
IFF-QB00045,F0201002B,DSM 1020 EXIT PRADE ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411.","P210, P261, P264, P272, P273, P280, P302+P252, P305+P351+P338, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501.",G,1,1,1,0.09,1,1.09,0018622778,8/24/2025,8/27/2026,1,
IFF-QB00045,F0201002C,DSM 1020 EXIT PRADE ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411.","P210, P261, P264, P272, P273, P280, P302+P252, P305+P351+P338, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501.",G,1,1,1,0.24,1.5,1.74,0018622778,8/24/2025,8/27/2026,1,
IFF-QB00045,F0201002D,DSM 1020 EXIT PRADE ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411.","P210, P261, P264, P272, P273, P280, P302+P252, P305+P351+P338, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501.",G,1,1,1,0.24,2,2.24,0018622778,8/24/2025,8/27/2026,1,
IFF-QB00045,F0201002E,DSM 1020 EXIT PRADE ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411.","P210, P261, P264, P272, P273, P280, P302+P252, P305+P351+P338, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501.",G,1,1,1,0.24,3,3.24,0018622778,8/24/2025,8/27/2026,1,
IFF-QB00045,F0201002F,DSM 1020 EXIT PRADE ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411.","P210, P261, P264, P272, P273, P280, P302+P252, P305+P351+P338, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501.",G,1,1,1,0.24,4,4.24,0018622778,8/24/2025,8/27/2026,1,
IFF-QB00045,F0201002G,DSM 1020 EXIT PRADE ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411.","P210, P261, P264, P272, P273, P280, P302+P252, P305+P351+P338, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501.",G,1,1,1,0.28,5,5.28,0018622778,8/24/2025,8/27/2026,1,
IFF-QB00045,F0201002H,DSM 1020 EXIT PRADE ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411.","P210, P261, P264, P272, P273, P280, P302+P252, P305+P351+P338, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501.",G,1,1,1,0.48,10,10.48,0018622778,8/24/2025,8/27/2026,1,
IFF-QB00045,F0201002I,DSM 1020 EXIT PRADE ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411.","P210, P261, P264, P272, P273, P280, P302+P252, P305+P351+P338, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501.",G,1,1,1,0.9,15,15.9,0018622778,8/24/2025,8/27/2026,1,
IFF-QB00045,F0201002J,DSM 1020 EXIT PRADE ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411.","P210, P261, P264, P272, P273, P280, P302+P252, P305+P351+P338, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501.",G,1,1,1,0.9,20,20.9,0018622778,8/24/2025,8/27/2026,1,
,,,,,,,,,,,,,,,,,,,
IFF-QB00201,F0201004A,LITTLE BABY CAP 420,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,   337 + P313,  P362 + P364, P391,  P501",G,1,1,1,0.09,0.5,0.59,0018397691,6/17/2025,6/17/2026,1,
IFF-QB00201,F0201004B,LITTLE BABY CAP 420,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,   337 + P313,  P362 + P364, P391,  P501",G,1,1,1,0.09,1,1.09,0018397691,6/17/2025,6/17/2026,1,
IFF-QB00201,F0201004C,LITTLE BABY CAP 420,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,   337 + P313,  P362 + P364, P391,  P501",G,1,1,1,0.24,1.5,1.74,0018397691,6/17/2025,6/17/2026,1,
IFF-QB00201,F0201004D,LITTLE BABY CAP 420,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,   337 + P313,  P362 + P364, P391,  P501",G,1,1,1,0.24,2,2.24,0018397691,6/17/2025,6/17/2026,1,
IFF-QB00201,F0201004E,LITTLE BABY CAP 420,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,   337 + P313,  P362 + P364, P391,  P501",G,1,1,1,0.24,3,3.24,0018397691,6/17/2025,6/17/2026,1,
IFF-QB00201,F0201004F,LITTLE BABY CAP 420,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,   337 + P313,  P362 + P364, P391,  P501",G,1,1,1,0.24,4,4.24,0018397691,6/17/2025,6/17/2026,1,
IFF-QB00201,F0201004G,LITTLE BABY CAP 420,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,   337 + P313,  P362 + P364, P391,  P501",G,1,1,1,0.28,5,5.28,0018397691,6/17/2025,6/17/2026,1,
IFF-QB00201,F0201004H,LITTLE BABY CAP 420,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,   337 + P313,  P362 + P364, P391,  P501",G,1,1,1,0.48,10,10.48,0018397691,6/17/2025,6/17/2026,1,
IFF-QB00201,F0201004I,LITTLE BABY CAP 420,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,   337 + P313,  P362 + P364, P391,  P501",G,1,1,1,0.9,15,15.9,0018397691,6/17/2025,6/17/2026,1,
IFF-QB00201,F0201004J,LITTLE BABY CAP 420,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,   337 + P313,  P362 + P364, P391,  P501",G,1,1,1,0.9,20,20.9,0018397691,6/17/2025,6/17/2026,1,
,,,,,,,,,,,,,,,,,,,
IFF-QB00040,F0201005A,CATERPILLAR 054,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317 H361, H410","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,1,H,1,0.09,0.5,0.59,0018835953,10/24/2025,10/24/2026,1,
IFF-QB00040,F0201005B,CATERPILLAR 054,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317 H361, H410","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,1,H,1,0.09,1,1.09,0018835953,10/24/2025,10/24/2026,1,
IFF-QB00040,F0201005C,CATERPILLAR 054,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317 H361, H410","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,1,H,1,0.24,1.5,1.74,0018835953,10/24/2025,10/24/2026,1,
IFF-QB00040,F0201005D,CATERPILLAR 054,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317 H361, H410","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,1,H,1,0.24,2,2.24,0018835953,10/24/2025,10/24/2026,1,
IFF-QB00040,F0201005E,CATERPILLAR 054,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317 H361, H410","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,1,H,1,0.24,3,3.24,0018835953,10/24/2025,10/24/2026,1,
